gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
HPCAL1	-0.6558142476779825	5.750934820360205	-6.2791259464800415	1.5233706841421847e-7	1.2900060543386793e-5	7.29813648158906
GNB2	-0.5938307011730197	7.009940418274922	-6.292753237924794	1.455837534703272e-7	1.2544466757359861e-5	7.2807330880487005
CASP8	0.6846075395095799	6.866997107925048	6.283077487115692	1.5034715630502715e-7	1.284226188160245e-5	7.278771564275477
DHX8	0.6344901102541627	4.996524126341908	6.252006514660217	1.6672340230296842e-7	1.3997640861726998e-5	7.236656173463058
ABCF2	-0.9253014431679794	3.928028894055065	-6.227173623877006	1.8108554668614333e-7	1.507460444998293e-5	7.157927072923255
ABCC1	1.004754753919824	5.225982209973778	6.195511319392882	2.0120580386375148e-7	1.6334252986393644e-5	7.05346217388277
RIOK3	0.5837498832655301	6.697752304777586	6.208685892044737	1.9257564497702267e-7	1.576392133841078e-5	7.048243762138041
TMBIM1	-0.9160792637620006	5.697951894332896	-6.188715067837535	2.0580787771568015e-7	1.6570908055746937e-05	7.007408092194389
PISD	0.6972236156786247	4.196487800746501	6.168060875034234	2.2044977007529284e-7	1.7463532995561303e-5	6.971172013225118
RGS14	-1.1323255465234086	5.236642004308012	-6.17275027496292	2.1703661042379803e-7	1.733293190400787e-5	6.969550657943754
C21orf59	-0.9959868830937086	4.393902855859568	-6.159702460812482	2.2666699308539413e-7	1.7812398984622615e-5	6.946706259665408
RNASEH1	0.59447543596246	5.472791234325037	6.135694113638739	2.4551694021533733e-7	1.892821550179095e-5	6.854068321799395
LYPLA2	-0.7087164553243541	5.236298185680774	-6.134314168587946	2.4664680690514524e-7	1.892821550179095e-5	6.85062796232584
BUB1	1.5108297473649586	1.4734489213755695	6.210531605521112	1.9139651731481988e-7	1.576392133841078e-5	6.847868363766812
OBFC1	-0.709941693072242	5.2196743840720075	-6.128982309270195	2.510614481934034e-7	1.8940124465882945e-5	6.834841423140178
ARHGAP25	-0.7313892753787217	5.281813966787458	-6.1191717949181985	2.5939163051559873e-7	1.9303060504202473e-5	6.797674342525544
SUSD3	-1.1808326904190034	4.61367584636187	-6.105734107179319	2.7125169841873737e-7	2.003387544035532e-5	6.77315423408434
SSH2	0.5045650966490429	6.907820359006325	6.1271622580930885	2.5258640995934704e-7	1.8940124465882945e-5	6.772908397886416
G3BP2	0.6547875497733244	7.816955893906916	6.12938444061594	2.5072575829390025e-7	1.8940124465882945e-5	6.750146735498805
MOB3A	-0.7405349519398428	4.504025323066211	-6.098277603726266	2.7806495818277206e-7	2.0383821524099773e-5	6.749951130318947
RDH11	-0.8533613512124587	4.293091528623674	-6.089786893600458	2.8603163226407027e-7	2.0725992925985335e-5	6.725670690157561
RAC2	-0.6437284199484576	8.871674377595594	-6.148606680890462	2.3519191925647372e-7	1.8335636689336042e-5	6.697463931437712
NAA25	0.6892686861738548	4.513325585089926	6.075892064887049	2.9956374455938595e-7	2.1278403521103954e-5	6.681743458047015
RNF167	-0.6651682323080577	6.389126318128285	-6.088820656954326	2.869525641793755e-7	2.0725992925985335e-5	6.6462706694736164
FUT7	-1.5074831763214713	2.6287971184877996	-6.076569749448627	2.9888915552351724e-7	2.1278403521103954e-5	6.613848259579715
ARHGEF2	-1.0260693849169495	4.0741219386310945	-6.045352159359218	3.3159611404658265e-7	2.2778102295661407e-5	6.58550179214021
DBP	-1.3924072409874202	2.1421694046440387	-6.074355164206069	3.0109926595067187e-7	2.1278403521103954e-5	6.578200940601546
NDUFV2	0.6066294235126772	7.470207045963489	6.056468620747794	3.1955853213524957e-7	2.2262577738755722e-5	6.525429208783507
FAM160B1	1.0129342733371187	5.438212083307021	6.0318494700102105	3.4682832342313906e-7	2.3334894664284216e-5	6.524345644076866
MRPL10	0.7756968380328475	6.019940808895247	6.033612410493706	3.448005856775793e-7	2.3334894664284216e-5	6.504428714160101
C19orf48	0.8234694160514433	4.465191786344027	6.017529361659477	3.6374672318128854e-7	2.3820560412065314e-5	6.497733606237245
GABARAPL2	-0.4918828408318703	6.815871414406527	-6.0401322675605895	3.3740374541088724e-7	2.3016090216466284e-5	6.475650961774491
SLC35C1	-1.2373164131274894	2.69001076301659	-6.021955138893845	3.5843175572410324e-7	2.3630034473005812e-5	6.461755226554986
SLC52A2	-1.1911668450928183	3.9384507470351187	-5.9929337160972675	3.9475022227149536e-7	2.5331391483715927e-5	6.418839746051828
SRSF10	0.664708648207947	6.954913884895555	6.013406917548564	3.687681739198826e-7	2.398946869149011e-5	6.412327834037571
TMEM63A	-0.6941947441946725	5.155298157924682	-5.991124224693608	3.9713267723630793e-7	2.5331391483715927e-5	6.396845243806933
FAM65B	-0.7762386045808309	7.793858675842185	-6.029326774521341	3.497506612656448e-7	2.3371433643621964e-5	6.382931930260221
RSRC2	0.5691895072961985	7.268088971435953	6.006066475064314	3.7788133464712186e-7	2.442058125157025e-5	6.372596350754416
MT-ND5	-0.5994788970282059	9.993451002026573	-6.065023881872355	3.105924138569417e-7	2.1792494866548128e-5	6.369805439930051
ATXN7	0.567244085656621	6.185166461356967	5.986820171660718	4.028574140510849e-7	2.5530763730476174e-5	6.3533683020587155
MT-ND4	-0.8098997818473723	9.98892109982808	-6.047668621604858	3.2905091174082255e-7	2.2762444408662678e-5	6.315408469723542
HDAC1	-0.6754740989147736	6.39636632946526	-5.981165502423951	4.105039677114637e-7	2.584859278736992e-5	6.301876284599746
RASAL3	-0.6727036362932157	6.259700991555235	-5.978769913484016	4.1378694325974014e-7	2.588935760280527e-5	6.296511200405202
DDX5	-0.33537849609143855	9.783086566913402	-6.024037573330965	3.559578323472432e-7	2.3625498561803852e-5	6.244443313652699
LIMA1	-1.0341030839134642	3.8509528291988357	-5.926291449315943	4.92658681561326e-7	2.92944891850667e-5	6.208396124612669
COX16	0.45327287934893157	6.234535654379168	5.944365602827669	4.639310833036656e-7	2.848246894557442e-5	6.206150673315269
MSH2	-1.1006328760337794	3.3015229842842873	-5.924834106700541	4.950509217877504e-7	2.92944891850667e-5	6.193655960287213
FERMT3	-0.6560833150855601	6.039550682788897	-5.929813006623033	4.869255164440824e-7	2.92944891850667e-5	6.153678555420756
ILK	-0.9730467847326585	4.701579543162026	-5.9095386596566275	5.208684343988151e-7	3.063766844969797e-5	6.14669469736175
PCGF5	0.5882147345763169	6.888739192700273	5.930566574476548	4.857073659705104e-7	2.92944891850667e-5	6.141968542384255
UPP1	0.8438317151112908	6.747574596712876	5.928076855736501	4.897436367696611e-7	2.92944891850667e-5	6.1379406630246045
RBM39	0.3831546320692336	8.729298355743552	5.960501856521229	4.396991303021478e-7	2.7164556961999988e-5	6.1177250701581825
ZBED5-AS1	-0.9103756613557072	3.080851572304311	-5.899899021915836	5.378249662636581e-7	3.126067836454386e-5	6.111344680585867
DPH2	-0.867482343519089	3.0800679583630886	-5.900699032221668	5.363970035989317e-7	3.126067836454386e-5	6.1069305186932965
SRSF5	-0.3441142112708562	8.784974452557922	-5.9614545776927965	4.3830857547380067e-7	2.7164556961999988e-5	6.105186303098552
NOP58	0.5748248611854452	7.351344204116077	5.925240551462312	4.943825762767466e-7	2.92944891850667e-5	6.103165004676594
DENND6A	0.8757946793580738	5.696580267373355	5.89459835320034	5.473825623764706e-7	3.162905241308277e-5	6.077308804974717
LDLRAP1	-0.8412305697368039	5.894305649729998	-5.878519410478789	5.774231537353834e-7	3.2786286931460526e-5	6.00021873303977
TMEM204	-1.1111147645627772	4.486620744386423	-5.854991038617293	6.243693066699891e-7	3.517776142044776e-5	5.981044973360504
YTHDC1	0.5113679638946707	7.104906948794979	5.880211981274914	5.741849816518945e-7	3.2786286931460526e-5	5.9732559588956295
XRCC5	-0.5440037753989664	7.053593841865064	-5.888951724646895	5.577503801692644e-7	3.2039660727501075e-5	5.969624501784141
EEA1	-0.9589119385518448	4.555401389314808	-5.85091763415285	6.328750878646653e-7	3.532234084144663e-5	5.964216403558849
AARS	-1.1391481905116478	2.812992305372672	-5.853867726032645	6.267034763899377e-7	3.517776142044776e-5	5.9518632986136035
CREBL2	-0.871064751592916	4.054733798939297	-5.841837576173701	6.5225349873616e-7	3.5994865831939885e-5	5.944215739615218
AKR7A2	-0.6776688014025893	5.006663740669208	-5.844225037390296	6.471016447704931e-7	3.5912313314014427e-5	5.934372867308756
DENND2D	-0.7448475720783332	5.669454713911889	-5.835251992878683	6.666773486375429e-7	3.638206442036991e-5	5.871550085678086
FLOT2	-0.5288905924530534	6.1161998800803286	-5.835751183170098	6.655729627695784e-7	3.638206442036991e-5	5.851528364997968
ZNF507	0.7586160950435765	4.544251901798058	5.807577323691354	7.308489015802178e-7	3.878208240354368e-5	5.834353093347217
CCT5	-0.5972529320954063	5.643218296024364	-5.8215556337380985	6.97701705373886e-7	3.745095001031521e-5	5.832465512643856
SNW1	0.48196173723601454	6.2484377207306405	5.824956260198521	6.898669903365657e-7	3.743957705014412e-5	5.824326834734391
VBP1	-0.7712966459176549	4.838732842331415	-5.804924012992577	7.373157938816154e-7	3.878208240354368e-5	5.81364243855271
ZNF292	0.5431311907696035	6.890820334889439	5.822991330888927	6.943832369046317e-7	3.745095001031521e-5	5.796596139260481
NFATC3	-0.6659152353693161	5.669435006067807	-5.802918833123431	7.422408115510752e-7	3.878208240354368e-5	5.772112787223797
PRPSAP2	-0.9577542459303672	4.358450193084732	-5.779194874277476	8.03059558762331e-7	4.05584325707925e-5	5.745569132598599
SNX9	1.1441288334327258	6.131987062207165	5.79087440497448	7.72521333307338e-7	4.015067225967186e-5	5.735634925698469
TMEM251	-1.1411554975618772	1.8450680108836353	-5.804489172509693	7.383810530062728e-7	3.878208240354368e-5	5.724970889345133
PHF5A	0.5070537645742812	5.898935657967521	5.788120838839145	7.79615097608069e-7	4.030610054633717e-5	5.720793352599782
SMIM14	-1.0076509204937096	3.838011160289143	-5.767442610179852	8.350020890576544e-7	4.163566254219969e-5	5.711298155483439
CD200R1	-1.361993368461523	2.3386030041899963	-5.778657324722721	8.044936774935395e-7	4.05584325707925e-5	5.695678842730305
TMEM2	0.9581962352848974	6.624546079546545	5.7849600409237585	7.87838035137849e-7	4.0517973922298906e-5	5.694055938845558
MGST3	-0.641887338014433	6.315098894274977	-5.778415218874495	8.051404205746245e-7	4.05584325707925e-5	5.655354260231233
ZNF766	0.7211066829660897	4.875113898856047	5.75099927512725	8.818304255645656e-7	4.331110135160364e-5	5.6477146213128355
SMCHD1	0.5924298083179336	8.727406073827442	5.805662085999836	7.355111901668244e-7	3.878208240354368e-5	5.629264974580023
SNRPB	0.3920906200128238	7.52341107852463	5.781625539409873	7.96606568608028e-7	4.05584325707925e-5	5.61025312266298
GPRIN3	0.8103175429594058	7.001557927803285	5.759540468861956	8.571886819369516e-7	4.252608294276099e-5	5.595761293477775
FAM117A	-0.9423636595428695	3.5537692303883492	-5.72703792712287	9.547913922336397e-7	4.550857040206657e-5	5.584001906923337
CDC25B	-0.6200475080092351	6.898001865104583	-5.767481532968666	8.348942351891633e-7	4.163566254219969e-5	5.581077165952886
PYGO2	-0.8371530199804025	3.821961258827535	-5.725748023246022	9.588853392907063e-7	4.550857040206657e-5	5.580795727077709
ARL6IP6	-0.5153696706602355	5.115658578134502	-5.728166612850949	9.512234098852581e-7	4.550857040206657e-5	5.560537052058419
HERC5	0.9301049024768089	5.5242494706635625	5.725761736376108	9.58841724209659e-7	4.550857040206657e-5	5.542513028280135
RALBP1	-0.8941715424920424	4.567345977495929	-5.712698147966217	1.001299504678891e-6	4.679030148678424e-5	5.5283541179965106
DDX47	1.1672875766971327	3.7894448392309927	5.710299190486798	1.0092973903351481e-6	4.679030148678424e-5	5.5277516483621
ZNF101	0.8211642270240711	4.996071692982093	5.710140599459039	1.0098283533745555e-6	4.679030148678424e-5	5.517049591201358
SUN2	-0.7158974793802706	7.0454758226000616	-5.740040346269284	9.144837235549738e-7	4.4470166418220336e-5	5.487307839244428
DYNLT1	0.853600641979523	6.8467071118941725	5.725711429041549	9.590017380869164e-7	4.550857040206657e-5	5.480085554198473
GMPR2	-0.778028034693854	4.6694772093533485	-5.697315312810193	1.0537011797502136e-6	4.836685368545022e-5	5.4784489780870445
PCIF1	0.5688057331984906	6.376276734120668	5.713569156486446	9.98411293710349e-7	4.679030148678424e-5	5.4604619760336925
THUMPD3	0.7588210615202229	4.8265485625026585	5.6878083551657745	1.0874428495956554e-6	4.9683493542223825e-5	5.446731036360566
AHNAK	-0.6389888935593007	8.666109916263709	-5.754578415096604	8.714196837673249e-7	4.3014852028374034e-5	5.443876174224812
NDUFB9	0.36212503879389146	8.117184551754853	5.742210054646529	9.07924605766675e-7	4.4370862698736555e-5	5.443544636749687
UBL4A	-0.9221980514107466	3.8981322497397506	-5.671891620394671	1.1463588402568629e-6	5.165450865983103e-5	5.412396169384083
BAG6	-0.4812724394353447	5.537051158249128	-5.676577093626754	1.1286929471683732e-6	5.132940194460616e-5	5.374091821241111
ARMC10	-0.8032612594998492	4.652795987710972	-5.663667828066099	1.1780335400418238e-6	5.2599197562867435e-5	5.372325397840326
PIK3IP1	0.7375198197788029	8.307173089714764	5.718650032939075	9.817280203308098e-7	4.636304972937282e-5	5.366572999951602
ATP1A1	-0.5089392878029795	7.074032859719295	-5.697856452063651	1.0518122622864308e-6	4.836685368545022e-5	5.365857401885061
DNAJC2	0.4884565644253982	6.0938468023390975	5.674158166486485	1.1377790506321635e-6	5.1504164121473465e-5	5.3497171773928
LY9	-0.7341040655197659	5.863065055811074	-5.667305682654251	1.16391595268789e-6	5.220614796006001e-5	5.320329029354831
